ID,bug_type,species,area_ratio,mask_pixels,total_pixels,roundness,ellipse_fit_quality,vertical_symmetry,horizontal_symmetry,min_R,max_R,mean_R,std_R,med_R,min_G,max_G,mean_G,std_G,med_G,min_B,max_B,mean_B,std_B,med_B,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,edge_density
181,Bee,Anthidium,0.012524125,300579,24000000,0.10663038627889478,0.6945606299856608,0.3692293669963086,0.3294990624875331,3,255,115.22291976485383,53.88855382552691,106.0,0,255,106.11590962775178,52.13828406980496,97.0,0,255,95.44573972233589,46.20760486259841,87.0,0.023607770336583726,0.042334960193493226,0.04740850159192758,0.15764241680223834,0.27629674727775394,0.18276393227737134,0.0855149561346601,0.05187987184733464,0.056035185425462194,0.0765156581131749,0.4895318701572631
182,Bee,Anthidium,0.014082125,337971,24000000,0.16304784889398533,0.6817822026407716,0.37616505625251945,0.4821079312734066,2,255,151.9011690352131,58.44350436674426,159.0,0,255,140.13267706400845,56.11791951446486,145.0,0,255,141.6243494264301,54.28500598755296,141.0,0.026247814161570075,0.04213083371058464,0.049374058721014524,0.15264031529332397,0.292288391607564,0.17967517923135418,0.0788470016658234,0.05144524234327797,0.052063638596210916,0.07528752466927635,0.597503927851798
183,Bumblebee,Bombus pascuorum,0.024415083333333334,585962,24000000,0.39141447734413043,0.7622977821121266,0.474489179667841,0.47021246700589125,32,255,162.51115260033927,44.82998751204432,164.0,17,249,140.52751884934517,43.47809180861023,145.0,0,255,132.03773282226493,56.819067353905886,132.0,0.02175567698929282,0.045533669418836034,0.045450046248732855,0.1456357238182681,0.23729866441851177,0.1951048020178783,0.09786300135503667,0.06058413344210034,0.06658110935521416,0.08419317293612896,0.27510145709107414
184,Bee,Apis mellifera,0.02372025,569286,24000000,0.23568883130578783,0.8778666764735296,0.5302523244655544,0.49634512723057633,13,255,138.17811960947574,44.348026304776006,139.0,7,234,122.6260947924242,41.26628561092313,128.0,7,255,123.3544703365268,47.29543120133609,123.0,0.02468355097437843,0.047118671458634145,0.05079696321356928,0.15482551828079383,0.24964077809747648,0.1857519770379036,0.09301827201090489,0.053595205221979816,0.05793397343338849,0.082635090270971,0.41263090959552845
185,Bee,Apis mellifera,0.02372025,569286,24000000,0.23568883130578783,0.8778666764735296,0.5302523244655544,0.49634512723057633,37,255,108.92215160745214,55.64758822542541,96.0,16,246,115.49670113089027,36.50469574630227,105.0,17,255,96.28874414617609,54.04012456726421,77.0,0.03152545469236904,0.06422957880573209,0.050747778796597844,0.13571210252843036,0.178488492603015,0.16287068362826418,0.10543382412355126,0.06880372958407549,0.08552116159540196,0.11666719364256278,0.2247200879698429
186,Bumblebee,Bombus pascuorum,0.01897225,455334,24000000,0.24812569192652534,0.8027264131678057,0.6989947836210177,0.6272156784264394,0,249,116.6574756113095,54.33799596545894,115.0,0,234,98.01789016414324,48.08528319597917,102.0,1,255,91.09003720345945,44.89987039047762,86.0,0.033151488797234556,0.051175620533498486,0.05048382066790532,0.13985557854234473,0.25808966604734107,0.17139945622334374,0.08388567513078311,0.05913461327289418,0.06446037414293683,0.08836370664171794,0.5374977489051993
187,Bee,Anthidium,0.0105845,254028,24000000,0.27933032945678,0.6937522733698355,0.4344570557343724,0.6168284377685135,4,255,111.39196072873857,57.96449439806421,105.0,3,245,89.17843702269042,53.69217130970048,80.0,0,255,82.04838443006282,52.4259300856933,72.0,0.024178437022690413,0.04158203032736549,0.04412899365424284,0.1442675610562615,0.2686081849244965,0.1819169540365629,0.08839970396964114,0.058340025508999006,0.06713826822240068,0.08143984127733951,0.42171335443336955
188,Other,Pieris rapae,0.037367875,896829,24000000,0.16420384650268435,0.5937452151459475,0.1379533489741875,0.07039837869966557,22,255,215.195609196402,45.71260326772408,235.0,26,255,213.3180996600244,43.73345308823929,233.0,33,255,218.4906922055375,49.949859615075816,238.0,0.016806994421456042,0.04531298608764882,0.023686789789357836,0.12474618907283329,0.1605088595484758,0.20441466544904324,0.09359086291812597,0.08481884506410921,0.16238658651760815,0.08372722113134165,0.1515417097350777
189,Other,Pieris rapae,0.03958004166666667,949921,24000000,0.20179077112674948,0.4760864914421264,0.4484875008005465,0.033283187737063034,30,255,180.75156881466984,39.114181010794134,195.0,31,255,178.97653173263882,37.44348798685312,193.0,27,255,185.15139574764638,42.98265802530537,195.0,0.021001746461021497,0.05372446761362261,0.037567334546767576,0.13565864950874862,0.18912625365688304,0.19279287435481476,0.1057551101617924,0.07089010559825501,0.09315511500430036,0.10032834309379411,0.1565435441473554
190,Bumblebee,Bombus hortorum,0.023845125,572283,24000000,0.720256309416665,0.9641418875314486,0.7958540052530996,0.8467771603384514,0,255,79.78968796906426,61.01365562411755,82.0,0,255,68.84716827164183,53.789754225613024,66.0,0,255,71.69117726719124,57.21532692847228,68.0,0.016843065406451006,0.0362460530891185,0.033212588876482436,0.14075728267308307,0.23193769516131005,0.20418569134501635,0.07184906768154917,0.06283604440460401,0.13921958192013392,0.06291292944225148,0.3492223253180682
